Lp., Izba administracji skarbowej Urząd skarbowy Urząd celno-skarbowy Delegatura urzędu celno-skarbowego Oddział celny, Kod identyfikacyjny
10, Urząd Skarbowy w Dąbrowie Górniczej,2411
11, Pierwszy Urząd Skarbowy w Gliwicach,2412
12, Drugi Urząd Skarbowy w Gliwicach,2413
13, Urząd Skarbowy w Jastrzębiu-Zdroju,2414
14, Urząd Skarbowy w Jaworznie,2415
15, Pierwszy Urząd Skarbowy w Katowicach,2416
16, Drugi Urząd Skarbowy w Katowicach,2417
17, Urząd Skarbowy w Kłobucku,2418
18, Urząd Skarbowy w Lublińcu,2419
19, Urząd Skarbowy w Mikołowie,2420
20, Urząd Skarbowy w Mysłowicach,2421
21, Urząd Skarbowy w Myszkowie,2422
22, Urząd Skarbowy w Piekarach Śląskich,2423
23, Urząd Skarbowy w Pszczynie,2424
24, Urząd Skarbowy w Raciborzu,2425
25, Urząd Skarbowy w Rudzie Śląskiej,2426
26, Urząd Skarbowy w Rybniku,2427
27, Urząd Skarbowy w Siemianowicach Śląskich,2428
28, Urząd Skarbowy w Sosnowcu,2429
29, Urząd Skarbowy w Tarnowskich Górach,2430
30, Urząd Skarbowy w Tychach,2431
31, Urząd Skarbowy w Wodzisławiu Śląskim,2432
32, Urząd Skarbowy w Zabrzu,2433
33, Urząd Skarbowy w Zawierciu,2434
34, Urząd Skarbowy w Żorach,2435
35, Urząd Skarbowy w Żywcu,2436
36, Pierwszy Śląski Urząd Skarbowy w Sosnowcu,2471
37, Drugi Śląski Urząd Skarbowy w Bielsku-Białej,2472
38, Śląski Urząd Celno-Skarbowy w Katowicach,338000
1), Delegatura UCS w Katowicach,331000
a), Oddział Celny w Chorzowie,331010
b), Oddział Celny w Tychach,331020
c), Oddział Celny w Sławkowie,331030
d), Oddział Celny Towarowy Port Lotniczy Katowice-Pyrzowice,331040
e), Oddział Celny Osobowy Port Lotniczy Katowice-Pyrzowice,331050
2), Delegatura UCS w Rybniku,332000
a), Oddział Celny w Gliwicach,332010
b), Oddział Celny w Raciborzu,332030
c), Oddział Celny Pocztowy w Zabrzu,332040
3), Delegatura UCS w Częstochowie,333000
a), Oddział Celny w Częstochowie,333010
4), Delegatura UCS w Bielsku-Białej,335000
a), Oddział Celny w Czechowicach-Dziedzicach,335010
b), Oddział Celny w Żywcu,335020
V, IZBA ADMINISTRACJI SKARBOWEJ W KIELCACH,2601
1, Urząd Skarbowy w Busku-Zdroju,2602
2, Urząd Skarbowy w Jędrzejowie,2603
3, Pierwszy Urząd Skarbowy w Kielcach,2604
4, Drugi Urząd Skarbowy w Kielcach,2605
5, Urząd Skarbowy w Końskich,2606
6, Urząd Skarbowy w Opatowie,2607
7, Urząd Skarbowy w Ostrowcu Świętokrzyskim,2608
8, Urząd Skarbowy w Pińczowie,2609
9, Urząd Skarbowy w Sandomierzu,2610
10, Urząd Skarbowy w Skarżysku-Kamiennej,2611
11, Urząd Skarbowy w Starachowicach,2612
12, Urząd Skarbowy w Staszowie,2613
13, Urząd Skarbowy w Kazimierzy Wielkiej,2614
14, Urząd Skarbowy we Włoszczowie,2615
15, Świętokrzyski Urząd Skarbowy w Kielcach,2671
16, Świętokrzyski Urząd Celno-Skarbowy w Kielcach,348000
1), Delegatura UCS w Kielcach,341000
a), Oddział Celny w Kielcach,341010
b), Oddział Celny w Starachowicach,341020
c), Oddział Celny w Sandomierzu,341030
VI, IZBA ADMINISTRACJI SKARBOWEJ W KRAKOWIE,1201
1, Urząd Skarbowy w Bochni,1202
2, Urząd Skarbowy w Brzesku,1203
3, Urząd Skarbowy w Chrzanowie,1204
4, Urząd Skarbowy w Dąbrowie Tarnowskiej,1205
5, Urząd Skarbowy w Gorlicach,1206
6, Pierwszy Urząd Skarbowy Kraków,1207
7, Urząd Skarbowy Kraków-Krowodrza,1208
8, Urząd Skarbowy Kraków-Nowa Huta,1209
9, Urząd Skarbowy Kraków-Podgórze,1210
10, Urząd Skarbowy Kraków-Prądnik,1211
11, Urząd Skarbowy Kraków-Stare Miasto,1212
12, Urząd Skarbowy Kraków-Śródmieście,1213
13, Urząd Skarbowy w Limanowej,1214
14, Urząd Skarbowy w Miechowie,1215
15, Urząd Skarbowy w Myślenicach,1216
16, Urząd Skarbowy w Nowym Sączu,1217
17, Urząd Skarbowy w Nowym Targu,1218
18, Urząd Skarbowy w Olkuszu,1219
19, Urząd Skarbowy w Oświęcimiu,1220
20, Urząd Skarbowy w Proszowicach,1221
21, Urząd Skarbowy w Suchej Beskidzkiej,1222
22, Pierwszy Urząd Skarbowy w Tarnowie,1223
23, Drugi Urząd Skarbowy w Tarnowie,1224
24, Urząd Skarbowy w Wadowicach,1225
25, Urząd Skarbowy w Wieliczce,1226
26, Urząd Skarbowy w Zakopanem,1227
27, Drugi Urząd Skarbowy Kraków,1228
28, Małopolski Urząd Skarbowy w Krakowie,1271
29, Małopolski Urząd Celno-Skarbowy w Krakowie,358000
1), Delegatura UCS w Krakowie,351000
a), Oddział Celny II w Krakowie,351020
b), Oddział Celny Port Lotniczy Kraków-Balice,351030
c), Oddział Celny w Chyżnem,351050
d), Oddział Celny w Andrychowie,351060
