Lp., Izba administracji skarbowej Urząd skarbowy Urząd celno-skarbowy Delegatura urzędu celno-skarbowego Oddział celny, Kod identyfikacyjny
50, Drugi Mazowiecki Urząd Skarbowy w Warszawie,1472
51, Trzeci Mazowiecki Urząd Skarbowy w Radomiu,1473
52, Mazowiecki Urząd Celno-Skarbowy w Warszawie,448000
1), Delegatura UCS I w Warszawie,441000
a), Oddział Celny I Pocztowy w Warszawie,441010
b), Oddział Celny IV w Warszawie,441040
2), Delegatura UCS II w Warszawie,442000
a), Oddział Celny V w Warszawie,442010
b), Oddział Celny VI w Warszawie,442020
3)," Delegatura UCS III ""Port Lotniczy"" w Warszawie",443000
a), Oddział Celny Osobowy w Warszawie,443010
b), Oddział Celny Towarowy I w Warszawie,443020
c), Oddział Celny Port Lotniczy Warszawa-Modlin,443050
4), Delegatura UCS w Radomiu,444000
a), Oddział Celny w Radomiu,444010
b), Oddział Celny w Grójcu,444020
5), Delegatura UCS w Pruszkowie,445000
a), Oddział Celny I w Pruszkowie,445010
b), Oddział Celny w Płocku,445050
6), Delegatura UCS w Siedlcach,446000
a), Oddział Celny w Siedlcach,446010
b), Oddział Celny w Garwolinie,446020
7), Delegatura UCS w Ciechanowie,447000
a), Oddział Celny w Ciechanowie,447010
b), Oddział Celny w Ostrołęce,447020
XVI, IZBA ADMINISTRACJI SKARBOWEJ WE WROCŁAWIU,0201
1, Urząd Skarbowy w Bolesławcu,0202
2, Urząd Skarbowy w Bystrzycy Kłodzkiej,0203
3, Urząd Skarbowy w Dzierżoniowie,0204
4, Urząd Skarbowy w Głogowie,0205
5, Urząd Skarbowy w Jaworze,0206
6, Urząd Skarbowy w Jeleniej Górze,0207
7, Urząd Skarbowy w Kamiennej Górze,0208
8, Urząd Skarbowy w Kłodzku,0209
9, Urząd Skarbowy w Legnicy,0210
10, Urząd Skarbowy w Lubaniu,0211
11, Urząd Skarbowy w Lubinie,0212
12, Urząd Skarbowy w Lwówku Śląskim,0213
13, Urząd Skarbowy w Miliczu,0214
14, Urząd Skarbowy w Nowej Rudzie,0215
15, Urząd Skarbowy w Oleśnicy,0216
16, Urząd Skarbowy w Oławie,0217
17, Urząd Skarbowy w Strzelinie,0218
18, Urząd Skarbowy w Środzie Śląskiej,0219
19, Urząd Skarbowy w Świdnicy,0220
20, Urząd Skarbowy w Trzebnicy,0221
21, Urząd Skarbowy w Wałbrzychu,0222
22, Urząd Skarbowy w Wołowie,0223
23, Urząd Skarbowy Wrocław-Fabryczna,0224
24, Urząd Skarbowy Wrocław-Krzyki,0225
25, Urząd Skarbowy Wrocław-Psie Pole,0226
26, Urząd Skarbowy Wrocław-Stare Miasto,0227
27, Urząd Skarbowy Wrocław-Śródmieście,0228
28, Pierwszy Urząd Skarbowy we Wrocławiu,0229
29, Urząd Skarbowy w Ząbkowicach Śląskich,0230
30, Urząd Skarbowy w Zgorzelcu,0231
31, Urząd Skarbowy w Złotoryi,0232
32, Urząd Skarbowy w Górze,0233
33, Urząd Skarbowy w Polkowicach,0234
34, Dolnośląski Urząd Skarbowy we Wrocławiu,0271
35, Dolnośląski Urząd Celno-Skarbowy we Wrocławiu,458000
1), Delegatura UCS we Wrocławiu,451000
a), Oddział Celny I we Wrocławiu,451010
b), Oddział Celny II we Wrocławiu,451020
c), Oddział Celny Towarowy Port Lotniczy Wrocław-Strachowice,451030
d), Oddział Celny Osobowy Port Lotniczy Wrocław-Strachowice,451040
2), Delegatura UCS w Legnicy,452000
a), Oddział Celny w Legnicy,452010
b), Oddział Celny w Polkowicach,452020
c), Oddział Celny w Żarskiej Wsi,452030
3), Delegatura UCS w Wałbrzychu,454000
a), Oddział Celny w Wałbrzychu,454010
